,Parent Company,Manufacturer,Month,SalesCount,Retail Dollars,Skus Tracked,Trans,Unit Velocity,Type
0,PepsiCo,TBE,11,83345,129629,16,3721355,22.4,HomeKpi
1,PepsiCo,Pepsi/Cytosport,11,17768,74040,13,1062921,16.72,HomeKpi
2,PepsiCo,Sabra Dipping Co,11,54499,178027,14,1970605,27.66,HomeKpi
3,PepsiCo,Minute Maid,11,302,981,2,13267,22.76,HomeKpi
4,PepsiCo,Naked Juice,11,81973,307901,33,4189650,19.57,HomeKpi
5,PepsiCo,South Beach Beverage,11,7657,16473,11,286369,26.74,HomeKpi
6,PepsiCo,Quaker Oats/Gatorade,11,1724695,3240997,113,84596492,20.39,HomeKpi
7,PepsiCo,Tropicana Products,11,86231,174925,31,3698462,23.32,HomeKpi
8,PepsiCo,Quaker Oats,11,93909,141888,30,3803463,24.69,HomeKpi
9,PepsiCo,PepsiCo,11,8450958,14370033,393,357973195,23.61,HomeKpi
10,PepsiCo,PepsiCo Canada,11,68270,165968,43,1394516,48.96,HomeKpi
11,PepsiCo,PepsiCo Foods Canada - Frito Lay/Quaker Oats,11,106935,179842,61,2235267,47.84,HomeKpi
12,PepsiCo,Frito-Lay,11,8568697,10303291,429,371174600,23.09,HomeKpi
13,PepsiCo,PepsiCo Canada - Quaker Oats,11,19888,44292,27,446812,44.51,HomeKpi
14,PepsiCo,Rockstar,11,180677,502193,45,8538182,21.16,HomeKpi
15,PepsiCo,KeVita,11,3488,12754,15,123077,28.34,HomeKpi
16,PepsiCo,Quaker Oats/Gatorade,10,1860957,3478877,117,88899764,20.93,HomeKpi
17,PepsiCo,PepsiCo Foods Canada - Frito Lay/Quaker Oats,10,97044,162434,60,1954214,49.66,HomeKpi
18,PepsiCo,Frito-Lay,10,8188615,9865946,429,350638958,23.35,HomeKpi
19,PepsiCo,Pepsi/Cytosport,10,19192,79665,12,1059549,18.11,HomeKpi
20,PepsiCo,TBE,10,89013,136170,17,3957528,22.49,HomeKpi
21,PepsiCo,Sabra Dipping Co,10,56380,182767,13,2068502,27.26,HomeKpi
22,PepsiCo,South Beach Beverage,10,10665,22467,12,454165,23.48,HomeKpi
23,PepsiCo,Rockstar,10,170916,472014,49,7880817,21.69,HomeKpi
24,PepsiCo,Tropicana Products,10,86499,176726,30,3847358,22.48,HomeKpi
25,PepsiCo,PepsiCo,10,8578077,14511345,396,356256272,24.08,HomeKpi
26,PepsiCo,KeVita,10,3779,13716,15,140825,26.83,HomeKpi
27,PepsiCo,Quaker Oats,10,90846,136033,30,3705853,24.51,HomeKpi
28,PepsiCo,PepsiCo Canada,10,66353,164623,45,1239009,53.55,HomeKpi
29,PepsiCo,Minute Maid,10,399,1299,2,18510,21.56,HomeKpi
30,PepsiCo,Naked Juice,10,79664,296580,33,3798949,20.97,HomeKpi
31,PepsiCo,PepsiCo Canada - Quaker Oats,10,18612,41759,28,395701,47.04,HomeKpi
